"","subj","trialNo","stimNo","focNo","verbNo","con","foc","verb","quesCode.art.1","quesCode.art.2","quesCode.noun.1","quesCode.noun.2","resp.art","resp.noun","respCode.art","respCode.noun","TMS","sess.no","RT","accur","decision","accur.code"
"2898","14",18,12,2,11,"syntax","object","11",1,2,1,1,"acc","Patient",2,1,"BA45",1,444.2,"correct","article",1
"2900","14",20,65,2,64,"syntax","object","64",1,2,1,2,"acc","Agent",2,1,"BA45",1,545.7,"correct","article",1
"2902","14",22,25,2,24,"syntax","object","24",1,1,1,2,"acc","Patient",1,2,"BA45",1,734,"correct","article",1
"2904","14",24,13,1,13,"syntax","subject","13",1,1,1,1,"acc","Patient",1,1,"BA45",1,785.5,"incorrect","article",0
"2907","14",27,63,1,63,"syntax","subject","63",1,2,1,1,"acc","Patient",2,1,"BA45",1,721.9,"incorrect","article",0
"2909","14",29,61,2,60,"syntax","object","60",1,2,1,1,"acc","Patient",2,1,"BA45",1,676.6,"correct","article",1
"2912","14",32,15,1,15,"syntax","subject","15",1,2,1,1,"nom","Agent",1,2,"BA45",1,792.1,"correct","article",1
"2913","14",33,35,2,34,"syntax","object","34",1,2,1,1,"acc","Patient",2,1,"BA45",1,516.6,"correct","article",1
"2915","14",35,21,1,21,"syntax","subject","21",1,2,1,1,"nom","Agent",1,2,"BA45",1,768.1,"correct","article",1
"2916","14",36,15,2,14,"syntax","object","14",1,1,1,2,"acc","Patient",1,2,"BA45",1,747.4,"correct","article",1
"2918","14",38,52,1,52,"syntax","subject","52",1,2,1,1,"acc","Patient",2,1,"BA45",1,554.7,"incorrect","article",0
"2919","14",39,6,2,5,"syntax","object","5",1,1,1,1,"nom","Agent",2,2,"BA45",1,846.2,"incorrect","article",0
"2921","14",41,3,1,3,"syntax","subject","3",1,1,1,2,"acc","Patient",1,2,"BA45",1,602.4,"incorrect","article",0
"2924","14",44,43,1,43,"syntax","subject","43",1,2,1,1,"nom","Agent",1,2,"BA45",1,710.3,"correct","article",1
"2926","14",46,38,1,38,"syntax","subject","38",1,1,1,2,"acc","Patient",1,2,"BA45",1,818.3,"incorrect","article",0
"2929","14",49,44,1,44,"syntax","subject","44",1,2,1,2,"acc","Patient",2,2,"BA45",1,644,"incorrect","article",0
"2930","14",50,51,2,50,"syntax","object","50",1,1,1,2,"acc","Patient",1,2,"BA45",1,704.4,"correct","article",1
"2932","14",52,39,2,38,"syntax","object","38",1,1,1,2,"acc","Patient",1,2,"BA45",1,521.9,"correct","article",1
"2934","14",54,44,2,43,"syntax","object","43",1,2,1,1,"acc","Patient",2,1,"BA45",1,840.1,"correct","article",1
"2935","14",55,48,1,48,"syntax","subject","48",1,2,1,2,"nom","Agent",1,1,"BA45",1,822.3,"correct","article",1
"2937","14",57,25,1,25,"syntax","subject","25",1,2,1,1,"nom","Agent",1,2,"BA45",1,568.1,"correct","article",1
"2939","14",59,24,2,23,"syntax","object","23",1,1,1,1,"acc","Agent",1,2,"BA45",1,686.3,"correct","article",1
"2940","14",60,22,1,22,"syntax","subject","22",1,2,1,2,"acc","Patient",2,2,"BA45",1,749.3,"incorrect","article",0
"2942","14",62,34,1,34,"syntax","subject","34",1,2,1,1,"acc","Patient",2,1,"BA45",1,549.5,"incorrect","article",0
"2944","14",64,29,2,28,"syntax","object","28",1,1,1,2,"acc","Patient",1,2,"BA45",1,659.7,"correct","article",1
"2946","14",66,45,1,45,"syntax","subject","45",1,1,1,1,"acc","Patient",1,1,"BA45",1,700.1,"incorrect","article",0
"2948","14",68,18,2,17,"syntax","object","17",1,1,1,1,"acc","Patient",1,1,"BA45",1,461.4,"correct","article",1
"2951","14",71,19,2,18,"syntax","object","18",1,1,1,2,"acc","Patient",1,2,"BA45",1,492,"correct","article",1
"2954","14",74,33,2,32,"syntax","object","32",1,2,1,2,"acc","Patient",2,2,"BA45",1,971.8,"correct","article",1
"2956","14",76,62,2,61,"syntax","object","61",1,1,1,2,"acc","Patient",1,2,"BA45",1,484.3,"correct","article",1
"2958","14",78,2,2,1,"syntax","object","1",1,2,1,2,"acc","Patient",2,2,"BA45",1,653.9,"correct","article",1
"2961","14",81,24,1,24,"syntax","subject","24",1,1,1,2,"acc","Patient",1,2,"BA45",1,572.3,"incorrect","article",0
"2963","14",83,5,1,5,"syntax","subject","5",1,1,1,1,"acc","Patient",1,1,"BA45",1,733.4,"incorrect","article",0
"2966","14",86,2,1,2,"syntax","subject","2",1,1,1,1,"acc","Patient",1,1,"BA45",1,629.8,"incorrect","article",0
"2967","14",87,27,2,26,"syntax","object","26",1,2,1,2,"acc","Patient",2,2,"BA45",1,655.4,"correct","article",1
"2970","14",90,9,1,9,"syntax","subject","9",1,1,1,1,"acc","Patient",1,1,"BA45",1,769.7,"incorrect","article",0
"2972","14",92,10,1,10,"syntax","subject","10",1,1,1,2,"nom","Agent",2,1,"BA45",1,685.1,"correct","article",1
"2973","14",93,9,2,8,"syntax","object","8",1,2,1,2,"acc","Patient",2,2,"BA45",1,586.4,"correct","article",1
"2975","14",95,7,1,7,"syntax","subject","7",1,2,1,1,"acc","Patient",2,1,"BA45",1,435.5,"incorrect","article",0
"2978","14",98,35,1,35,"syntax","subject","35",1,2,1,2,"nom","Agent",1,1,"BA45",1,904.3,"correct","article",1
"2980","14",100,27,1,27,"syntax","subject","27",1,1,1,1,"acc","Patient",1,1,"BA45",1,799.1,"incorrect","article",0
"2981","14",101,16,2,15,"syntax","object","15",1,2,1,1,"acc","Patient",2,1,"BA45",1,492.8,"correct","article",1
"2983","14",103,11,1,11,"syntax","subject","11",1,2,1,1,"nom","Agent",1,2,"BA45",1,591.6,"correct","article",1
"2985","14",105,47,1,47,"syntax","subject","47",1,2,1,1,"nom","Agent",1,2,"BA45",1,398,"correct","article",1
"2987","14",107,64,1,64,"syntax","subject","64",1,2,1,2,"acc","Patient",2,2,"BA45",1,720.6,"incorrect","article",0
"2988","14",108,4,2,3,"syntax","object","3",1,1,1,2,"acc","Patient",1,2,"BA45",1,886.1,"correct","article",1
"2990","14",110,14,2,13,"syntax","object","13",1,1,1,1,"acc","Agent",1,2,"BA45",1,606.2,"correct","article",1
"2993","14",113,67,2,66,"syntax","object","66",1,1,1,1,"acc","Patient",1,1,"BA45",1,614,"correct","article",1
"2996","14",116,28,1,28,"syntax","subject","28",1,1,1,2,"acc","Patient",1,2,"BA45",1,770.6,"incorrect","article",0
"2997","14",117,17,2,16,"syntax","object","16",1,2,1,2,"nom","Patient",1,2,"BA45",1,615.9,"incorrect","article",0
"2999","14",119,26,2,25,"syntax","object","25",1,2,1,1,"acc","Patient",2,1,"BA45",1,467.5,"correct","article",1
"3000","14",120,31,1,31,"syntax","subject","31",1,2,1,1,"acc","Patient",2,1,"BA45",1,661.9,"incorrect","article",0
"3002","14",122,49,2,48,"syntax","object","48",1,2,1,2,"nom","Agent",1,1,"BA45",1,680.9,"incorrect","article",0
"3005","14",125,38,2,37,"syntax","object","37",1,1,1,1,"nom","Agent",2,2,"BA45",1,714.5,"incorrect","article",0
"3007","14",127,12,1,12,"syntax","subject","12",1,2,1,2,"acc","Patient",2,2,"BA45",1,684.1,"incorrect","article",0
"3009","14",129,50,1,50,"syntax","subject","50",1,1,1,2,"acc","Agent",1,1,"BA45",1,602.9,"incorrect","article",0
"3012","14",132,23,2,22,"syntax","object","22",1,2,1,2,"acc","Patient",2,2,"BA45",1,530.5,"correct","article",1
"3013","14",133,14,1,14,"syntax","subject","14",1,1,1,2,"acc","Patient",1,2,"BA45",1,737.5,"incorrect","article",0
"3016","14",136,21,2,20,"syntax","object","20",1,1,1,2,"acc","Patient",1,2,"BA45",1,601.7,"correct","article",1
"3019","14",139,20,2,19,"syntax","object","19",1,1,1,1,"acc","Patient",1,1,"BA45",1,640.6,"correct","article",1
"3021","14",141,3,2,2,"syntax","object","2",1,1,1,1,"acc","Patient",1,1,"BA45",1,463.7,"correct","article",1
"3022","14",142,49,1,49,"syntax","subject","49",1,1,1,1,"nom","Agent",2,2,"BA45",1,570,"correct","article",1
"3024","14",144,8,1,8,"syntax","subject","8",1,2,1,2,"nom","Agent",1,1,"BA45",1,663,"correct","article",1
"3026","14",146,60,1,60,"syntax","subject","60",1,2,1,1,"nom","Agent",1,2,"BA45",1,687.7,"correct","article",1
"3028","14",148,37,1,37,"syntax","subject","37",1,1,1,1,"nom","Agent",2,2,"BA45",1,838.2,"correct","article",1
"3030","14",150,11,2,10,"syntax","object","10",1,1,1,2,"acc","Patient",1,2,"BA45",1,628.4,"correct","article",1
"3033","14",153,26,1,26,"syntax","subject","26",1,2,1,2,"nom","Agent",1,1,"BA45",1,799.3,"correct","article",1
"3034","14",154,64,2,63,"syntax","object","63",1,2,1,1,"nom","Agent",1,2,"BA45",1,891.8,"incorrect","article",0
"3036","14",156,46,2,45,"syntax","object","45",1,1,1,1,"acc","Agent",1,2,"BA45",1,706.9,"correct","article",1
"3039","14",159,23,1,23,"syntax","subject","23",1,1,1,1,"nom","Agent",2,2,"BA45",1,720,"correct","article",1
"3040","14",160,22,2,21,"syntax","object","21",1,2,1,1,"nom","Agent",1,2,"BA45",1,614.4,"incorrect","article",0
"3042","14",162,45,2,44,"syntax","object","44",1,2,1,2,"acc","Patient",2,2,"BA45",1,546.9,"correct","article",1
"3043","14",163,20,1,20,"syntax","subject","20",1,1,1,2,"nom","Agent",2,1,"BA45",1,797,"correct","article",1
"3045","14",165,36,2,35,"syntax","object","35",1,2,1,2,"nom","Agent",1,1,"BA45",1,591.5,"incorrect","article",0
"3047","14",167,17,1,17,"syntax","subject","17",1,1,1,1,"acc","Patient",1,1,"BA45",1,836.4,"incorrect","article",0
"3050","14",170,53,2,52,"syntax","object","52",1,2,1,1,"acc","Patient",2,1,"BA45",1,893.6,"correct","article",1
"3053","14",173,19,1,19,"syntax","subject","19",1,1,1,1,"nom","Agent",2,2,"BA45",1,851.4,"correct","article",1
"3055","14",175,32,1,32,"syntax","subject","32",1,2,1,2,"nom","Agent",1,1,"BA45",1,567.5,"correct","article",1
"3056","14",176,10,2,9,"syntax","object","9",1,1,1,1,"nom","Agent",2,2,"BA45",1,678.1,"incorrect","article",0
"3058","14",178,50,2,49,"syntax","object","49",1,1,1,1,"acc","Agent",1,2,"BA45",1,778.7,"correct","article",1
"3059","14",179,18,1,18,"syntax","subject","18",1,1,1,2,"nom","Agent",2,1,"BA45",1,552.9,"correct","article",1
"3061","14",181,46,1,46,"syntax","subject","46",1,1,1,2,"nom","Agent",2,1,"BA45",1,604.8,"correct","article",1
"3062","14",182,68,2,67,"syntax","object","67",1,1,1,2,"nom","Agent",2,1,"BA45",1,684.3,"incorrect","article",0
"3064","14",184,32,2,31,"syntax","object","31",1,2,1,1,"acc","Patient",2,1,"BA45",1,874.7,"correct","article",1
"3066","14",186,48,2,47,"syntax","object","47",1,2,1,1,"acc","Patient",2,1,"BA45",1,716.3,"correct","article",1
"3069","14",189,4,1,4,"syntax","subject","4",1,2,1,2,"nom","Agent",1,1,"BA45",1,1019,"correct","article",1
"3072","14",192,16,1,16,"syntax","subject","16",1,2,1,2,"nom","Agent",1,1,"BA45",1,560.5,"correct","article",1
"3073","14",1,44,2,43,"syntax","object","43",1,2,1,2,"acc","Patient",2,2,"sham",2,519.5,"correct","article",1
"3074","14",2,3,1,3,"syntax","subject","3",1,2,1,1,"nom","Agent",1,2,"sham",2,718.9,"correct","article",1
"3076","14",4,12,2,11,"syntax","object","11",1,2,1,2,"acc","Patient",2,2,"sham",2,656,"correct","article",1
"3077","14",5,44,1,44,"syntax","subject","44",1,1,1,1,"nom","Agent",2,2,"sham",2,744.1,"correct","article",1
"3079","14",7,18,1,18,"syntax","subject","18",1,2,1,1,"nom","Agent",1,2,"sham",2,509.8,"correct","article",1
"3082","14",10,63,1,63,"syntax","subject","63",1,2,1,2,"nom","Agent",1,1,"sham",2,786.3,"correct","article",1
"3085","14",13,23,1,23,"syntax","subject","23",1,1,1,2,"nom","Agent",2,1,"sham",2,788.3,"correct","article",1
"3088","14",16,22,2,21,"syntax","object","21",1,2,1,2,"acc","Patient",2,2,"sham",2,475.4,"correct","article",1
"3090","14",18,61,1,61,"syntax","subject","61",1,2,1,1,"nom","Agent",1,2,"sham",2,657.2,"correct","article",1
"3092","14",20,47,2,46,"syntax","object","46",1,2,1,1,"acc","Patient",2,1,"sham",2,746.9,"correct","article",1
"3093","14",21,67,1,67,"syntax","subject","67",1,2,1,1,"acc","Patient",2,1,"sham",2,559.6,"incorrect","article",0
"3095","14",23,25,1,25,"syntax","subject","25",1,2,1,2,"nom","Agent",1,1,"sham",2,1052.2,"correct","article",1
"3098","14",26,5,1,5,"syntax","subject","5",1,1,1,2,"nom","Agent",2,1,"sham",2,700.2,"correct","article",1
"3099","14",27,51,2,50,"syntax","object","50",1,2,1,1,"acc","Patient",2,1,"sham",2,689.7,"correct","article",1
"3101","14",29,4,1,4,"syntax","subject","4",1,1,1,1,"nom","Agent",2,2,"sham",2,652.2,"correct","article",1
"3103","14",31,8,1,8,"syntax","subject","8",1,1,1,1,"nom","Agent",2,2,"sham",2,591.1,"correct","article",1
"3104","14",32,2,2,1,"syntax","object","1",1,1,1,1,"acc","Patient",1,1,"sham",2,1108.3,"correct","article",1
"3106","14",34,39,2,38,"syntax","object","38",1,2,1,1,"acc","Agent",2,2,"sham",2,824.9,"correct","article",1
"3108","14",36,12,1,12,"syntax","subject","12",1,1,1,1,"nom","Patient",2,1,"sham",2,764.8,"correct","article",1
"3109","14",37,25,2,24,"syntax","object","24",1,2,1,1,"acc","Patient",2,1,"sham",2,690.6,"correct","article",1
"3112","14",40,46,2,45,"syntax","object","45",1,1,1,2,"acc","Agent",1,1,"sham",2,904.9,"correct","article",1
"3115","14",43,14,2,13,"syntax","object","13",1,1,1,2,"acc","Patient",1,2,"sham",2,1058.9,"correct","article",1
"3118","14",46,53,2,52,"syntax","object","52",1,2,1,2,"acc","Patient",2,2,"sham",2,799.4,"correct","article",1
"3120","14",48,23,2,22,"syntax","object","22",1,1,1,1,"acc","Agent",1,2,"sham",2,676.1,"correct","article",1
"3121","14",49,32,1,32,"syntax","subject","32",1,1,1,1,"nom","Agent",2,2,"sham",2,746.5,"correct","article",1
"3123","14",51,13,1,13,"syntax","subject","13",1,1,1,2,"nom","Agent",2,1,"sham",2,732,"correct","article",1
"3126","14",54,45,1,45,"syntax","subject","45",1,1,1,2,"nom","Agent",2,1,"sham",2,901.8,"correct","article",1
"3127","14",55,48,2,47,"syntax","object","47",1,2,1,2,"nom","Agent",1,1,"sham",2,789.5,"incorrect","article",0
"3129","14",57,9,1,9,"syntax","subject","9",1,1,1,2,"nom","Agent",2,1,"sham",2,927.8,"correct","article",1
"3130","14",58,8,2,7,"syntax","object","7",1,2,1,2,"nom","Agent",1,1,"sham",2,877.8,"incorrect","article",0
"3133","14",61,35,2,34,"syntax","object","34",1,2,1,2,"acc","Patient",2,2,"sham",2,825.2,"correct","article",1
"3135","14",63,35,1,35,"syntax","subject","35",1,1,1,1,"nom","Agent",2,2,"sham",2,563.7,"correct","article",1
"3136","14",64,68,2,67,"syntax","object","67",1,2,1,1,"nom","Agent",1,2,"sham",2,807.1,"incorrect","article",0
"3139","14",67,11,1,11,"syntax","subject","11",1,2,1,2,"nom","Agent",1,1,"sham",2,709.7,"correct","article",1
"3141","14",69,15,2,14,"syntax","object","14",1,2,1,1,"acc","Patient",2,1,"sham",2,800.6,"correct","article",1
"3143","14",71,22,1,22,"syntax","subject","22",1,1,1,1,"nom","Agent",2,2,"sham",2,655.3,"correct","article",1
"3144","14",72,27,2,26,"syntax","object","26",1,1,1,1,"nom","Agent",2,2,"sham",2,649.9,"incorrect","article",0
"3146","14",74,24,1,24,"syntax","subject","24",1,2,1,1,"nom","Agent",1,2,"sham",2,429.7,"correct","article",1
"3148","14",76,49,2,48,"syntax","object","48",1,1,1,1,"nom","Agent",2,2,"sham",2,951,"incorrect","article",0
"3150","14",78,28,1,28,"syntax","subject","28",1,2,1,1,"nom","Agent",1,2,"sham",2,403.3,"correct","article",1
"3152","14",80,38,2,37,"syntax","object","37",1,1,1,2,"acc","Patient",1,2,"sham",2,498,"correct","article",1
"3155","14",83,19,1,19,"syntax","subject","19",1,1,1,2,"nom","Agent",2,1,"sham",2,764.6,"correct","article",1
"3157","14",85,50,2,49,"syntax","object","49",1,1,1,2,"acc","Patient",1,2,"sham",2,557.6,"correct","article",1
"3158","14",86,27,1,27,"syntax","subject","27",1,1,1,2,"nom","Agent",2,1,"sham",2,1108.3,"correct","article",1
"3160","14",88,50,1,50,"syntax","subject","50",1,2,1,1,"nom","Agent",1,2,"sham",2,1068.5,"correct","article",1
"3162","14",90,67,2,66,"syntax","object","66",1,1,1,2,"acc","Patient",1,2,"sham",2,715.4,"correct","article",1
"3165","14",93,3,2,2,"syntax","object","2",1,1,1,2,"acc","Patient",1,2,"sham",2,1003.2,"correct","article",1
"3167","14",95,61,2,60,"syntax","object","60",1,2,1,2,"nom","Agent",1,1,"sham",2,1162.9,"incorrect","article",0
"3170","14",98,17,1,17,"syntax","subject","17",1,1,1,2,"nom","Agent",2,1,"sham",2,572.1,"correct","article",1
"3171","14",99,19,2,18,"syntax","object","18",1,2,1,1,"acc","Patient",2,1,"sham",2,587.2,"correct","article",1
"3173","14",101,13,2,12,"syntax","object","12",1,1,1,1,"acc","Patient",1,1,"sham",2,640.1,"correct","article",1
"3176","14",104,2,1,2,"syntax","subject","2",1,1,1,2,"nom","Agent",2,1,"sham",2,789,"correct","article",1
"3177","14",105,28,2,27,"syntax","object","27",1,1,1,2,"acc","Patient",1,2,"sham",2,471.7,"correct","article",1
"3179","14",107,33,2,32,"syntax","object","32",1,1,1,1,"acc","Patient",1,1,"sham",2,707.4,"correct","article",1
"3180","14",108,20,1,20,"syntax","subject","20",1,2,1,1,"nom","Agent",1,2,"sham",2,899,"correct","article",1
"3182","14",110,15,1,15,"syntax","subject","15",1,2,1,2,"nom","Agent",1,1,"sham",2,703,"correct","article",1
"3184","14",112,29,2,28,"syntax","object","28",1,2,1,1,"acc","Patient",2,1,"sham",2,840.7,"correct","article",1
"3187","14",115,17,2,16,"syntax","object","16",1,1,1,1,"acc","Patient",1,1,"sham",2,748.7,"correct","article",1
"3188","14",116,52,1,52,"syntax","subject","52",1,2,1,2,"nom","Agent",1,1,"sham",2,675.2,"correct","article",1
"3190","14",118,64,1,64,"syntax","subject","64",1,1,1,1,"acc","Patient",1,1,"sham",2,526.4,"incorrect","article",0
"3193","14",121,46,1,46,"syntax","subject","46",1,2,1,1,"nom","Agent",1,2,"sham",2,752.8,"correct","article",1
"3196","14",124,26,2,25,"syntax","object","25",1,2,1,2,"acc","Patient",2,2,"sham",2,822.1,"correct","article",1
"3197","14",125,49,1,49,"syntax","subject","49",1,1,1,2,"nom","Agent",2,1,"sham",2,651.2,"correct","article",1
"3199","14",127,4,2,3,"syntax","object","3",1,2,1,1,"acc","Patient",2,1,"sham",2,697.3,"correct","article",1
"3201","14",129,48,1,48,"syntax","subject","48",1,1,1,1,"nom","Agent",2,2,"sham",2,881,"correct","article",1
"3204","14",132,31,1,31,"syntax","subject","31",1,2,1,2,"nom","Agent",1,1,"sham",2,1351.8,"correct","article",1
"3206","14",134,64,2,63,"syntax","object","63",1,2,1,2,"acc","Patient",2,2,"sham",2,1078.4,"correct","article",1
"3207","14",135,38,1,38,"syntax","subject","38",1,2,1,1,"nom","Agent",1,2,"sham",2,587.5,"correct","article",1
"3209","14",137,60,1,60,"syntax","subject","60",1,2,1,2,"nom","Agent",1,1,"sham",2,682.2,"correct","article",1
"3210","14",138,36,2,35,"syntax","object","35",1,1,1,1,"acc","Patient",1,1,"sham",2,1052.7,"correct","article",1
"3213","14",141,11,2,10,"syntax","object","10",1,2,1,1,"acc","Patient",2,1,"sham",2,667.7,"correct","article",1
"3215","14",143,10,2,9,"syntax","object","9",1,1,1,2,"acc","Patient",1,2,"sham",2,562.5,"correct","article",1
"3217","14",145,47,1,47,"syntax","subject","47",1,2,1,2,"nom","Agent",1,1,"sham",2,671.2,"correct","article",1
"3220","14",148,1,1,1,"syntax","subject","1",1,1,1,1,"nom","Agent",2,2,"sham",2,717.8,"correct","article",1
"3222","14",150,21,2,20,"syntax","object","20",1,2,1,1,"acc","Patient",2,1,"sham",2,940.3,"correct","article",1
"3224","14",152,16,1,16,"syntax","subject","16",1,1,1,1,"nom","Agent",2,2,"sham",2,669.9,"correct","article",1
"3225","14",153,24,2,23,"syntax","object","23",1,1,1,2,"acc","Patient",1,2,"sham",2,1304.8,"correct","article",1
"3227","14",155,18,2,17,"syntax","object","17",1,1,1,2,"acc","Patient",1,2,"sham",2,526.5,"correct","article",1
"3228","14",156,21,1,21,"syntax","subject","21",1,2,1,2,"nom","Patient",1,2,"sham",2,631.8,"correct","article",1
"3231","14",159,16,2,15,"syntax","object","15",1,2,1,2,"acc","Patient",2,2,"sham",2,1154.3,"correct","article",1
"3233","14",161,14,1,14,"syntax","subject","14",1,2,1,1,"nom","Agent",1,2,"sham",2,821.9,"correct","article",1
"3234","14",162,5,2,4,"syntax","object","4",1,1,1,1,"acc","Patient",1,1,"sham",2,570.5,"correct","article",1
"3237","14",165,45,2,44,"syntax","object","44",1,1,1,1,"acc","Patient",1,1,"sham",2,653.8,"correct","article",1
"3238","14",166,37,1,37,"syntax","subject","37",1,1,1,2,"nom","Agent",2,1,"sham",2,771.8,"correct","article",1
"3241","14",169,34,1,34,"syntax","subject","34",1,2,1,2,"nom","Agent",1,1,"sham",2,816.2,"correct","article",1
"3244","14",172,32,2,31,"syntax","object","31",1,2,1,2,"acc","Patient",2,2,"sham",2,733.5,"correct","article",1
"3246","14",174,66,1,66,"syntax","subject","66",1,1,1,2,"nom","Agent",2,1,"sham",2,671.5,"correct","article",1
"3248","14",176,26,1,26,"syntax","subject","26",1,1,1,1,"nom","Agent",2,2,"sham",2,1238,"correct","article",1
"3250","14",178,20,2,19,"syntax","object","19",1,1,1,2,"acc","Patient",1,2,"sham",2,1034.3,"correct","article",1
"3252","14",180,6,2,5,"syntax","object","5",1,1,1,2,"acc","Patient",1,2,"sham",2,890.8,"correct","article",1
"3254","14",182,62,2,61,"syntax","object","61",1,2,1,1,"nom","Agent",1,2,"sham",2,815.3,"incorrect","article",0
"3257","14",185,7,1,7,"syntax","subject","7",1,2,1,2,"nom","Agent",1,1,"sham",2,1001.5,"correct","article",1
"3259","14",187,9,2,8,"syntax","object","8",1,1,1,1,"acc","Patient",1,1,"sham",2,576.1,"correct","article",1
"3260","14",188,10,1,10,"syntax","subject","10",1,2,1,1,"nom","Agent",1,2,"sham",2,474.3,"correct","article",1
"3262","14",190,43,1,43,"syntax","subject","43",1,2,1,2,"nom","Agent",1,1,"sham",2,986.6,"correct","article",1
"3263","14",191,65,2,64,"syntax","object","64",1,1,1,1,"nom","Agent",2,2,"sham",2,810.1,"incorrect","article",0
"3265","14",1,38,1,38,"syntax","subject","38",1,2,1,2,"nom","Patient",1,2,"BA44",3,664.4,"correct","article",1
"3266","14",2,68,2,67,"syntax","object","67",1,2,1,2,"nom","Agent",1,1,"BA44",3,547.2,"incorrect","article",0
"3269","14",5,24,1,24,"syntax","subject","24",1,2,1,2,"nom","Agent",1,1,"BA44",3,499.2,"correct","article",1
"3270","14",6,67,2,66,"syntax","object","66",1,2,1,1,"acc","Patient",2,1,"BA44",3,530.3,"correct","article",1
"3272","14",8,23,1,23,"syntax","subject","23",1,2,1,1,"nom","Agent",1,2,"BA44",3,523.4,"correct","article",1
"3274","14",10,26,1,26,"syntax","subject","26",1,1,1,2,"nom","Agent",2,1,"BA44",3,754.7,"correct","article",1
"3275","14",11,53,2,52,"syntax","object","52",1,1,1,1,"acc","Patient",1,1,"BA44",3,521.6,"correct","article",1
"3278","14",14,18,1,18,"syntax","subject","18",1,2,1,2,"nom","Agent",1,1,"BA44",3,427.3,"correct","article",1
"3280","14",16,63,1,63,"syntax","subject","63",1,1,1,1,"nom","Agent",2,2,"BA44",3,696.1,"correct","article",1
"3282","14",18,4,2,3,"syntax","object","3",1,2,1,2,"acc","Patient",2,2,"BA44",3,899.3,"correct","article",1
"3285","14",21,34,1,34,"syntax","subject","34",1,1,1,1,"nom","Agent",2,2,"BA44",3,738.8,"correct","article",1
"3287","14",23,47,2,46,"syntax","object","46",1,2,1,2,"acc","Agent",2,1,"BA44",3,739.7,"correct","article",1
"3289","14",25,5,1,5,"syntax","subject","5",1,2,1,1,"nom","Agent",1,2,"BA44",3,627.2,"correct","article",1
"3291","14",27,43,1,43,"syntax","subject","43",1,1,1,1,"nom","Agent",2,2,"BA44",3,898.7,"correct","article",1
"3294","14",30,14,2,13,"syntax","object","13",1,2,1,1,"acc","Patient",2,1,"BA44",3,687.5,"correct","article",1
"3297","14",33,29,2,28,"syntax","object","28",1,2,1,2,"acc","Patient",2,2,"BA44",3,720.6,"correct","article",1
"3298","14",34,48,1,48,"syntax","subject","48",1,1,1,2,"nom","Agent",2,1,"BA44",3,687.7,"correct","article",1
"3300","14",36,46,2,45,"syntax","object","45",1,2,1,1,"acc","Patient",2,1,"BA44",3,854.5,"correct","article",1
"3302","14",38,2,1,2,"syntax","subject","2",1,2,1,1,"nom","Agent",1,2,"BA44",3,648.9,"correct","article",1
"3304","14",40,10,2,9,"syntax","object","9",1,2,1,1,"nom","Agent",1,2,"BA44",3,1207.7,"incorrect","article",0
"3306","14",42,50,1,50,"syntax","subject","50",1,2,1,2,"acc","Patient",2,2,"BA44",3,718.6,"incorrect","article",0
"3308","14",44,12,2,11,"syntax","object","11",1,1,1,1,"nom","Agent",2,2,"BA44",3,692.8,"incorrect","article",0
"3310","14",46,18,2,17,"syntax","object","17",1,2,1,1,"acc","Patient",2,1,"BA44",3,668.6,"correct","article",1
"3312","14",48,16,2,15,"syntax","object","15",1,1,1,1,"acc","Patient",1,1,"BA44",3,772.2,"correct","article",1
"3313","14",49,12,1,12,"syntax","subject","12",1,1,1,2,"nom","Agent",2,1,"BA44",3,466.8,"correct","article",1
"3316","14",52,52,1,52,"syntax","subject","52",1,1,1,1,"nom","Agent",2,2,"BA44",3,675.2,"correct","article",1
"3318","14",54,11,2,10,"syntax","object","10",1,2,1,2,"acc","Patient",2,2,"BA44",3,613.7,"correct","article",1
"3320","14",56,65,2,64,"syntax","object","64",1,1,1,2,"nom","Agent",2,1,"BA44",3,883.8,"incorrect","article",0
"3321","14",57,11,1,11,"syntax","subject","11",1,1,1,1,"acc","Patient",1,1,"BA44",3,552.7,"incorrect","article",0
"3323","14",59,9,1,9,"syntax","subject","9",1,2,1,1,"nom","Agent",1,2,"BA44",3,807.6,"correct","article",1
"3324","14",60,64,2,63,"syntax","object","63",1,1,1,1,"nom","Agent",2,2,"BA44",3,1055.5,"incorrect","article",0
"3326","14",62,51,2,50,"syntax","object","50",1,2,1,2,"acc","Patient",2,2,"BA44",3,567,"correct","article",1
"3327","14",63,66,1,66,"syntax","subject","66",1,2,1,1,"nom","Agent",1,2,"BA44",3,523,"correct","article",1
"3330","14",66,27,1,27,"syntax","subject","27",1,2,1,1,"acc","Agent",2,2,"BA44",3,786.4,"incorrect","article",0
"3331","14",67,26,2,25,"syntax","object","25",1,1,1,1,"acc","Patient",1,1,"BA44",3,415.9,"correct","article",1
"3334","14",70,20,2,19,"syntax","object","19",1,2,1,1,"acc","Patient",2,1,"BA44",3,722.9,"correct","article",1
"3337","14",73,32,1,32,"syntax","subject","32",1,1,1,2,"nom","Agent",2,1,"BA44",3,651.8,"correct","article",1
"3339","14",75,6,2,5,"syntax","object","5",1,2,1,1,"nom","Agent",1,2,"BA44",3,572.6,"incorrect","article",0
"3342","14",78,14,1,14,"syntax","subject","14",1,2,1,2,"nom","Agent",1,1,"BA44",3,1026.5,"correct","article",1
